epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,136.198,1.88464,2.14284,1.78513,0.32324,0.22849,0.1556,0.07018,3.2001,6.13892,3.01811,0.000663623,0.000663623,0.000663623
2,273.625,2.13563,2.37242,2.00846,0.39533,0.31073,0.26743,0.1303,2.36928,5.32815,2.38268,0.00131712,0.00131712,0.00131712
3,410.12,2.06829,2.34618,2.00725,0.42156,0.23652,0.24161,0.12787,2.50589,9.53792,2.49322,0.00195742,0.00195742,0.00195742
4,546.088,1.98881,2.25672,1.94138,0.45952,0.29365,0.30246,0.15054,2.32955,2.8348,2.21894,0.0019406,0.0019406,0.0019406
5,682.171,1.89447,2.12785,1.88005,0.56531,0.35985,0.40107,0.21595,2.13588,2.41224,2.1144,0.0019208,0.0019208,0.0019208
6,817.445,1.83989,2.013,1.8113,0.58887,0.38121,0.44002,0.24515,2.06331,2.33732,2.02201,0.001901,0.001901,0.001901
7,952.854,1.78402,1.93348,1.76905,0.65768,0.42392,0.48597,0.26898,2.06874,2.22225,2.00709,0.0018812,0.0018812,0.0018812
8,1088.43,1.7351,1.86395,1.72248,0.6394,0.42602,0.49318,0.28876,2.0396,2.17534,1.96891,0.0018614,0.0018614,0.0018614
9,1223.79,1.6902,1.77334,1.69104,0.69839,0.40683,0.48984,0.28002,2.01987,2.17012,1.91352,0.0018416,0.0018416,0.0018416
10,1358.93,1.68496,1.7672,1.68257,0.68258,0.43994,0.52109,0.30931,1.9434,2.13248,1.912,0.0018218,0.0018218,0.0018218
11,1493.47,1.66586,1.72452,1.66598,0.71828,0.4533,0.54327,0.32355,1.93249,2.09097,1.88432,0.001802,0.001802,0.001802
12,1628.85,1.62917,1.67794,1.64345,0.72516,0.4645,0.55991,0.32824,1.90353,1.94327,1.85303,0.0017822,0.0017822,0.0017822
13,1764.24,1.60437,1.63307,1.61509,0.76399,0.496,0.58976,0.34,1.89615,1.95463,1.86874,0.0017624,0.0017624,0.0017624
14,1899.11,1.58552,1.58124,1.60556,0.72211,0.50507,0.5828,0.35498,1.84381,1.95432,1.81562,0.0017426,0.0017426,0.0017426
15,2034.66,1.5552,1.5637,1.5734,0.72252,0.52589,0.60819,0.36237,1.82573,1.82058,1.76919,0.0017228,0.0017228,0.0017228
16,2170.23,1.52921,1.51934,1.55975,0.78671,0.49625,0.6019,0.36168,1.86746,1.82003,1.78902,0.001703,0.001703,0.001703
17,2305.39,1.52558,1.50018,1.55713,0.76782,0.51628,0.61605,0.37185,1.81933,1.77217,1.80031,0.0016832,0.0016832,0.0016832
18,2439.97,1.50283,1.45759,1.5389,0.77864,0.53711,0.63779,0.38846,1.81908,1.7321,1.77588,0.0016634,0.0016634,0.0016634
19,2578.58,1.48739,1.43474,1.52631,0.77328,0.53284,0.62962,0.38524,1.7716,1.71227,1.7498,0.0016436,0.0016436,0.0016436
